#deck:IELTSWords
#notetype:Cloze
#separator:|
#columns:Answer|Example|OriginalExample|TranslationOfExample|Definition|ChineseDefinition|Word|PartOfSpeech|Synonyms|Antonyms

urban|The radio station plays {{c1::urban}} music throughout the day.|The radio station plays urban music throughout the day.|这个电台全天播放城市音乐。|Denoting or relating to popular black culture and music, especially hip-hop.|表示或与流行黑人文化和音乐有关的，尤其是嘻哈文化。|urban|adjective|inner-city, street|
compliments|She received many {{c1::compliments}} on her new haircut.|She received many compliments on her new haircut.|她的新发型获得了很多赞美。|A polite expression of praise or admiration.|礼貌地表达赞美或钦佩。|compliment|noun|praise, flattery, admiration, commendation|insult, criticism, offense
complimented|He {{c1::complimented}} her on her excellent presentation.|He complimented her on her excellent presentation.|他赞扬她的精彩演讲。|To praise or express admiration for someone.|赞美或表达对某人的钦佩。|compliment|verb|praise, commend, applaud, flatter|criticize, insult, disparage
execution|The {{c1::execution}} of the project was flawless.|The execution of the project was flawless.|项目的执行完美无缺。|The carrying out or putting into effect of a plan, order, or course of action.|执行或实施计划、命令或行动方案。|execution|noun|implementation, performance, accomplishment, fulfillment|
execution|The {{c1::execution}} was scheduled for dawn.|The execution was scheduled for dawn.|处决定于黎明时分。|The carrying out of a death sentence.|执行死刑。|execution|noun|capital punishment, putting to death|
execution|The pianist's {{c1::execution}} of the sonata was brilliant.|The pianist's execution of the sonata was brilliant.|钢琴家对奏鸣曲的演奏非常出色。|The manner in which something is performed or carried out.|执行或实施某事的方式。|execution|noun|performance, rendition, delivery|
heritage|The family estate was his {{c1::heritage}} from his grandfather.|The family estate was his heritage from his grandfather.|这个家族庄园是他从祖父那里继承的遗产。|Property that is or may be inherited; an inheritance.|可以或可能被继承的财产；遗产。|heritage|noun|inheritance, birthright, legacy, bequest|
heritage|The castle is part of our national {{c1::heritage}}.|The castle is part of our national heritage.|这座城堡是我们国家遗产的一部分。|Valued objects and qualities such as cultural traditions, unspoiled countryside, and historic buildings that have been passed down from previous generations.|有价值的物品和品质，如文化传统、未受破坏的乡村和历史建筑，这些都是从前几代传下来的。|heritage|noun|tradition, culture, background, legacy|
appropriate|It's not {{c1::appropriate}} to wear casual clothes to a formal event.|It's not appropriate to wear casual clothes to a formal event.|在正式场合穿着休闲服装是不恰当的。|Suitable or proper in the circumstances.|在特定情况下适当或恰当的。|appropriate|adjective|suitable, proper, fitting, apt|inappropriate, unsuitable, improper
appropriated|The government {{c1::appropriated}} the land for a new highway.|The government appropriated the land for a new highway.|政府征用了这片土地用于修建新高速公路。|To take (something) for one's own use, typically without the owner's permission.|占用（某物）供自己使用，通常未经所有者许可。|appropriate|verb|take, seize, commandeer, expropriate|return, relinquish
appropriated|Congress {{c1::appropriated}} $10 million for the research project.|Congress appropriated $10 million for the research project.|国会拨款1000万美元用于该研究项目。|To devote (money or assets) to a special purpose.|将（金钱或资产）用于特殊目的。|appropriate|verb|allocate, assign, earmark, set aside|withhold, deny
annual|The company holds an {{c1::annual}} conference in May.|The company holds an annual conference in May.|公司在五月举行年度会议。|Occurring once every year.|每年发生一次的。|annual|adjective|yearly, once-a-year|biennial, monthly, weekly, daily
annual|The {{c1::annual}} report shows strong financial performance.|The annual report shows strong financial performance.|年度报告显示强劲的财务表现。|Covering the period of a year.|覆盖一年期间的。|annual|adjective|yearly, per annum|
annuals|Marigolds and petunias are popular garden {{c1::annuals}}.|Marigolds and petunias are popular garden annuals.|万寿菊和矮牵牛是受欢迎的一年生园艺植物。|A plant that completes its life cycle within one growing season.|在一个生长季内完成其生命周期的植物。|annual|noun|annual plant|perennial, biennial
annual|The school produces an {{c1::annual}} that includes photos of all the students.|The school produces an annual that includes photos of all the students.|学校制作一本年刊，其中包括所有学生的照片。|A publication issued once a year.|每年出版一次的出版物。|annual|noun|yearbook, almanac|
depicts|The painting {{c1::depicts}} a scene from ancient Greek mythology.|The painting depicts a scene from ancient Greek mythology.|这幅画描绘了古希腊神话中的一个场景。|To show or represent by a picture or other form of art.|通过图画或其他艺术形式展示或表现。|depict|verb|portray, illustrate, represent, show|
depicts|The novel {{c1::depicts}} life in Victorian England.|The novel depicts life in Victorian England.|这部小说描绘了维多利亚时代英国的生活。|To describe something in words; to characterize.|用言语描述某事；刻画。|depict|verb|describe, characterize, present, delineate|
literacy|The country has achieved a high rate of {{c1::literacy}}.|The country has achieved a high rate of literacy.|这个国家已经实现了高识字率。|The ability to read and write.|读写能力。|literacy|noun|reading and writing ability, reading proficiency|illiteracy
literacy|Financial {{c1::literacy}} is important for managing personal finances effectively.|Financial literacy is important for managing personal finances effectively.|金融素养对有效管理个人财务很重要。|Competence or knowledge in a specified area.|在特定领域的能力或知识。|literacy|noun|proficiency, competence, knowledge, understanding|
calculated|She {{c1::calculated}} the total cost of the project.|She calculated the total cost of the project.|她计算了项目的总成本。|To determine mathematically the amount or number of something.|通过数学方法确定某物的数量或数字。|calculate|verb|compute, work out, reckon, figure out|
calculated|He {{c1::calculated}} his chances of winning before entering the competition.|He calculated his chances of winning before entering the competition.|他在参加比赛前计算了获胜的几率。|To plan or devise carefully; to consider.|仔细计划或设计；考虑。|calculate|verb|estimate, assess, evaluate, gauge|
calculated|They {{c1::calculated}} that the new strategy would increase profits by 15%.|They calculated that the new strategy would increase profits by 15%.|他们预计新策略将使利润增加15%。|To expect as a result of planning; to intend.|期望作为计划的结果；打算。|calculate|verb|expect, anticipate, predict, forecast|
luxury|They live in {{c1::luxury}} in their waterfront mansion.|They live in luxury in their waterfront mansion.|他们在滨水豪宅里过着奢华的生活。|The state of great comfort and extravagant living.|极度舒适和奢华生活的状态。|luxury|noun|opulence, affluence, wealth, extravagance|poverty, necessity, austerity
luxury|Fresh fruit was a {{c1::luxury}} during the winter months.|Fresh fruit was a luxury during the winter months.|在冬季，新鲜水果是一种奢侈品。|An inessential, desirable item that is expensive or difficult to obtain.|非必需的，令人向往的物品，价格昂贵或难以获得。|luxury|noun|indulgence, extravagance, treat, nonessential|necessity, essential
luxury|They stayed in a {{c1::luxury}} hotel with spectacular views.|They stayed in a luxury hotel with spectacular views.|他们住在一家景色壮观的豪华酒店。|Providing great comfort and expensive items, materials, etc.|提供极大舒适和昂贵物品、材料等的。|luxury|adjective|high-end, upscale, deluxe, premium|budget, economy, basic
souvenir|She bought a small Eiffel Tower as a {{c1::souvenir}} of her trip to Paris.|She bought a small Eiffel Tower as a souvenir of her trip to Paris.|她买了一个小埃菲尔铁塔作为巴黎之行的纪念品。|A thing that is kept as a reminder of a person, place, or event.|作为对某人、某地或某事件的纪念而保存的物品。|souvenir|noun|memento, keepsake, token, reminder|
souvenirs|The shop sells {{c1::souvenirs}} such as postcards, key chains, and t-shirts.|The shop sells souvenirs such as postcards, key chains, and t-shirts.|这家商店销售明信片、钥匙链和T恤等纪念品。|An item sold to tourists as a reminder of a place visited.|作为到访地点的纪念而销售给游客的物品。|souvenir|noun|curio, trinket, memento|
purchase|I made a {{c1::purchase}} online.|I made a purchase online.|我在网上进行了购买。|The act of buying something.|购买某物的行为。|purchase|noun|buying, acquisition|sale, sell
purchase|I will {{c1::purchase}} a new phone tomorrow.|I will purchase a new phone tomorrow.|我明天会购买一部新手机。|To buy something.|购买某物。|purchase|verb|buy, acquire|sell, give away
constant|The temperature remained {{c1::constant}} throughout the day.|The temperature remained constant throughout the day.|气温一整天都保持恒定。|Not changing or varying; uniform; regular.|不变的，持续的。|constant|adjective|unchanging, persistent|variable, inconsistent
constant|In mathematics, pi is a well-known {{c1::constant}}.|In mathematics, pi is a well-known constant.|在数学中，π是众所周知的常数。|A situation or state of affairs that does not change.|不会改变的状况或事务。|constant|noun|unchanging factor, immutable|variable, fluctuation
dormancy|Many seeds require a period of {{c1::dormancy}} to germinate.|Many seeds require a period of dormancy to germinate.|许多种子需要一个休眠期才能发芽。|A state of minimal activity or rest.|处于最低活动或休眠的状态。|dormancy|noun|inactivity, rest|activity, awakening
particular|I have a {{c1::particular}} interest in modern art.|I have a particular interest in modern art.|我对现代艺术有特别的兴趣。|Special or specific; distinct from others.|特殊的或具体的；区别于其他的。|particular|adjective|specific, distinct|general, common
particulars|We need all the {{c1::particulars}} of the agreement.|We need all the particulars of the agreement.|我们需要协议的所有细节。|An individual item, fact, or detail.|个别项目、事实或细节。|particular|noun|detail, item|whole, aggregate
subscription|I renewed my magazine {{c1::subscription}} for another year.|I renewed my magazine subscription for another year.|我将杂志订阅续订了一年。|A payment for consecutive issues of a publication or service.|为连续出版物或服务支付的费用。|subscription|noun|membership, enrollment|one-time purchase, single payment
pitch|Her {{c1::pitch}} during the presentation was very persuasive.|Her pitch during the presentation was very persuasive.|她在演示时的话语力度非常有说服力。|The level or degree of intensity of a sound or activity.|声音或活动的音调或强度。|pitch|noun|tone, level|monotone, flatness
pitched|He {{c1::pitched}} the ball over the fence.|He pitched the ball over the fence.|他将球扔过了围栏。|To throw or fling roughly or casually.|随意或粗略地投掷或抛掷。|pitch|verb|throw, hurl|catch, receive
entitles|This ticket {{c1::entitles}} you to a free drink.|This ticket entitles you to a free drink.|这张票可以让你免费获得一杯饮品。|To give someone the right to do or have something.|赋予某人做某事或拥有某物的权利。|entitle|verb|authorize, enable|disqualify, prohibit
shutters|We closed the {{c1::shutters}} to keep out the light.|We closed the shutters to keep out the light.|我们关上了百叶窗以挡住光线。|A hinged cover or screen for a window or camera lens.|用于窗户或相机镜头的铰链式盖子或屏。|shutter|noun|cover, blind|opener, exposure
shutter|They decided to {{c1::shutter}} all the windows before the storm.|They decided to shutter all the windows before the storm.|在暴风雨来临前他们决定把所有窗户都关上。|To close or cover with shutters.|用百叶窗关闭或覆盖。|shutter|verb|close, seal|open, expose
demolish|They plan to {{c1::demolish}} the old stadium to build a new one.|They plan to demolish the old stadium to build a new one.|他们计划拆除旧体育场来建一个新的。|To destroy or ruin (a building or structure), especially on purpose.|有意破坏或拆毁（建筑或结构）。|demolish|verb|destroy, raze|build, construct
durable|These boots are very {{c1::durable}} and last for years.|These boots are very durable and last for years.|这些靴子非常耐用，可以穿好几年。|Able to withstand wear, pressure, or damage; hard-wearing.|能承受磨损、压力或破坏；耐用的。|durable|adjective|tough, long-lasting|fragile, weak
coped|She {{c1::coped}} well with the unexpected change.|She coped well with the unexpected change.|她很好地应对了意外的变化。|To deal effectively with a difficult situation.|有效地应对困难情况。|cope|verb|manage, handle|struggle, succumb
circulation|Blood {{c1::circulation}} is crucial for staying healthy.|Blood circulation is crucial for staying healthy.|血液循环对于保持健康至关重要。|Movement to and fro or around something, especially of fluid in a closed system.|来回或围绕某物的运动，尤其指在封闭系统中的流动。|circulation|noun|flow, movement|blockage, obstruction
tradition|It’s a family {{c1::tradition}} to eat together on Sundays.|It’s a family tradition to eat together on Sundays.|星期天一起吃饭是我们家的传统。|The transmission of customs or beliefs from generation to generation.|在世代之间传递的习俗或信仰。|tradition|noun|custom, ritual|innovation, change
benefits|He received many {{c1::benefits}} from his new job.|He received many benefits from his new job.|他从新工作中获得了很多好处。|An advantage or profit gained from something.|从某事获得的好处或利润。|benefit|noun|advantage, perk|loss, disadvantage
benefit|Children {{c1::benefit}} greatly from regular exercise.|Children benefit greatly from regular exercise.|孩子们从经常运动中获益良多。|To receive an advantage; to profit or gain.|获得优势、利润或收益。|benefit|verb|profit, gain|suffer, lose
decay|Tooth {{c1::decay}} is common among children.|Tooth decay is common among children.|蛀牙在儿童中很常见。|The state or process of rotting or decomposition.|腐烂或分解的状态或过程。|decay|noun|rot, decomposition|growth, flourishing
decay|Fallen leaves {{c1::decay}} on the forest floor.|Fallen leaves decay on the forest floor.|落叶在森林地面上腐烂。|To rot or decompose through the action of bacteria or fungi.|在细菌或真菌的作用下腐烂或分解。|decay|verb|rot, break down|preserve, remain fresh
distribution|The {{c1::distribution}} of supplies was handled by volunteers.|The distribution of supplies was handled by volunteers.|物资的分发由志愿者负责。|The action of sharing something out among a number of recipients.|在一群接受者之间分发某物的行为。|distribution|noun|allocation, dispersion|collection, accumulation
defect|The car was recalled due to a manufacturing {{c1::defect}}.|The car was recalled due to a manufacturing defect.|这款汽车因为制造缺陷被召回。|A shortcoming, imperfection, or lack.|缺点、不完善或缺乏。|defect|noun|flaw, fault|perfection, strength
defect|He decided to {{c1::defect}} to the rival faction.|He decided to defect to the rival faction.|他决定倒戈到竞争派别。|To abandon a country or cause, often to join an opposing one.|放弃一个国家或事业，通常是加入对立的一方。|defect|verb|desert, betray|remain, stay
oppose|They {{c1::oppose}} the new policy due to its cost.|They oppose the new policy due to its cost.|他们反对这项新政策，因为它的费用过高。|To disagree with and attempt to prevent, especially in argument or action.|不同意并试图阻止，尤其是在争论或行动中。|oppose|verb|resist, defy|support, approve
statistics|He is studying {{c1::statistics}} at the university.|He is studying statistics at the university.|他在大学学习统计学。|The practice or science of collecting and analyzing numerical data in large quantities.|收集和分析大量数字数据的实践或科学。|statistics|noun|data analysis, quantitative analysis|guesswork, conjecture
stuffy|It’s quite {{c1::stuffy}} in this room.|It’s quite stuffy in this room.|这间房间里空气很闷。|Lacking fresh air or ventilation; also can mean dull or boring.|缺乏新鲜空气或通风；也可指枯燥乏味。|stuffy|adjective|airless, stale|airy, fresh
approximately|The journey took {{c1::approximately}} three hours.|The journey took approximately three hours.|这次旅程大约花了三小时。|Used to show that something is almost, but not completely, accurate or exact.|表示某件事几乎但不完全精确。|approximately|adverb|about, roughly|exactly, precisely
excusable|Being late once might be {{c1::excusable}}, but not repeatedly.|Being late once might be excusable, but not repeatedly.|迟到一次或许情有可原，但不能总是迟到。|Able to be justified or forgiven; pardonable.|能够被原谅或宽恕的。|excusable|adjective|forgivable, pardonable|unforgivable, inexcusable
propose|I {{c1::propose}} we take a break for lunch.|I propose we take a break for lunch.|我建议我们休息一下去吃午饭。|To suggest a plan or action.|提出一个计划或行动。|propose|verb|suggest, put forward|dismiss, oppose
ornaments|She placed several {{c1::ornaments}} on the Christmas tree.|She placed several ornaments on the Christmas tree.|她在圣诞树上挂了好几个装饰品。|A thing used to make something look more attractive.|用来装饰某物使其更美观的物品。|ornament|noun|decoration, adornment|essential, necessity
ornamented|They {{c1::ornamented}} the living room with fresh flowers.|They ornamented the living room with fresh flowers.|他们用鲜花来装饰客厅。|To make something look more attractive by adding decorative items.|通过添加装饰物品使某物更具美感。|ornament|verb|decorate, embellish|disfigure, mar
energetic|The kids are always {{c1::energetic}} in the morning.|The kids are always energetic in the morning.|孩子们在早上总是精力充沛。|Showing or involving great activity or vitality.|表现出或包含活力且富有能量的。|energetic|adjective|active, vigorous|lethargic, tired
atmospheric|{{c1::atmospheric}} pressure changes can affect the weather.|Atmospheric pressure changes can affect the weather.|大气压的变化会影响天气。|Relating to the atmosphere of the earth or another planet.|与地球或其他行星大气层相关的。|atmospheric|adjective|air-related, climatic|non-aerial, underground
cooperative|They have a {{c1::cooperative}} approach to problem-solving.|They have a cooperative approach to problem-solving.|他们用合作的方式解决问题。|Involving mutual assistance in working toward a common goal.|在共同目标下相互协作和帮助的。|cooperative|adjective|collaborative, helpful|uncooperative, unhelpful
cooperative|They formed a {{c1::cooperative}} to market their produce.|They formed a cooperative to market their produce.|他们成立了一个合作社来销售农产品。|A farm, business, or other organization that is owned and run jointly by its members.|由其成员共同拥有和经营的农场、企业或其他组织形式。|cooperative|noun|collective, union|private enterprise, solo operation
corrode|Salt can {{c1::corrode}} metal over time.|Salt can corrode metal over time.|盐会随着时间腐蚀金属。|Destroy or damage (metal, stone, or other materials) slowly by chemical action.|通过化学作用逐渐破坏或损害（金属、石材或其他材料）。|corrode|verb|erode, eat away|preserve, maintain
honour|He received an {{c1::honour}} for his service to the community.|He received an honour for his service to the community.|他因对社区的贡献而获得了荣誉。|High respect; great esteem.|高度尊敬；崇高的敬意。|honour|noun|respect, esteem|dishonour, disgrace
honour|We {{c1::honour}} our ancestors by telling their stories.|We honour our ancestors by telling their stories.|我们通过讲述祖先的故事来表达敬意。|To regard or treat with admiration and respect.|以钦佩和尊重的态度对待或看待。|honour|verb|respect, reward|shame, disrespect
except|Everyone went to the party {{c1::except}} John.|Everyone went to the party except John.|除了约翰，所有人都去了派对。|Not including; other than.|不包括；除此之外。|except|preposition|excluding, omitting|including, encompassing
except|She would have gone, {{c1::except}} she was ill.|She would have gone, except she was ill.|她本来会去的，但因病而没去。|Used before a statement that forms an exception to one just made.|在先前陈述之后，提出一个例外情况。|except|conjunction|but, however|moreover, inclusion
soluble|Salt is {{c1::soluble}} in water.|Salt is soluble in water.|盐在水中是可溶解的。|Capable of being dissolved in a solvent.|能够溶解于溶剂中。|soluble|adjective|dissolvable|insoluble
administration|She works in the {{c1::administration}} of the company.|She works in the administration of the company.|她在该公司的行政部门工作。|The process or activity of running a business, organization, etc.|管理企业、组织等的过程或活动。|administration|noun|management|
administration|The new {{c1::administration}} introduced various reforms.|The new administration introduced various reforms.|新一届政府推出了各种改革。|The officials in the executive branch of government.|政府行政部门的官员。|administration|noun|government|
environment|We must protect the {{c1::environment}} to preserve wildlife.|We must protect the environment to preserve wildlife.|我们必须保护环境以保护野生动物。|The surroundings or conditions in which a person, animal, or plant lives or operates.|人、动物或植物居住或运作的周围环境或条件。|environment|noun|surroundings|
license|He applied for a driver's {{c1::license}}.|He applied for a driver's license.|他申请了驾驶执照。|A permit from an authority to own or use something.|允许拥有或使用某物的官方许可。|license|noun|permit, certificate|
licensed|The company {{c1::licensed}} its technology to a foreign partner.|The company licensed its technology to a foreign partner.|该公司将其技术授权给海外合作伙伴。|To grant a license to someone or something.|向某人或某事物授予许可。|license|verb|authorize|
underline|Add an {{c1::underline}} to highlight the title.|Add an underline to highlight the title.|添加下划线以突出标题。|A line drawn under a word or phrase.|在单词或短语下划线。|underline|noun|underscore|
underline|Please {{c1::underline}} key terms in the text.|Please underline key terms in the text.|请在文本中划出关键词。|To draw a line under a word or phrase.|在单词或短语下画线。|underline|verb|underscore|
activate|Press this button to {{c1::activate}} the alarm.|Press this button to activate the alarm.|按下此按钮可激活警报。|To make something active or operative.|使某事物处于活动或运作状态。|activate|verb|turn on, start|deactivate
major|He was promoted to {{c1::major}} last year.|He was promoted to major last year.|他去年被提升为少校。|An officer of high rank in the military.|军队中的高级军官。|major|noun|officer|
major|This is a {{c1::major}} breakthrough in technology.|This is a major breakthrough in technology.|这是技术方面的一项重大突破。|Greater in scope or effect.|范围或影响更大。|major|adjective|significant|minor
specific|We need a {{c1::specific}} plan for this project.|We need a specific plan for this project.|我们需要为这个项目制定一个具体的计划。|Clearly defined or identified.|清晰定义或识别的。|specific|adjective|particular|general
objective|Our main {{c1::objective}} is to increase sales.|Our main objective is to increase sales.|我们的主要目标是增加销售额。|A goal or purpose.|目标或目的。|objective|noun|goal|
objective|We need an {{c1::objective}} analysis of the data.|We need an objective analysis of the data.|我们需要对数据进行客观分析。|Not influenced by personal feelings or opinions.|不受个人感情或观点影响的。|objective|adjective|unbiased|subjective
concentrate|Orange juice {{c1::concentrate}} requires adding water before drinking.|Orange juice concentrate requires adding water before drinking.|浓缩橙汁在饮用前需要加水稀释。|A substance made by removing or reducing the diluting agent; a concentrated form of something.|通过去除或减少稀释剂而得到的一种高浓度物质。|concentrate|noun|extract|
concentrate|She can't {{c1::concentrate}} with all this noise.|She can't concentrate with all this noise.|在这种噪音下她无法集中注意力。|To focus one's attention or mental effort on a particular object or activity.|将注意力或思维集中在特定目标或活动上。|concentrate|verb|focus|distract
conflict|The {{c1::conflict}} between the two nations escalated.|The conflict between the two nations escalated.|这两个国家之间的冲突升级了。|A serious disagreement or argument.|严重的分歧或争论。|conflict|noun|disagreement|agreement
conflict|Their schedules {{c1::conflict}}, so they can't meet.|Their schedules conflict, so they can't meet.|他们的日程有冲突，所以无法见面。|To be in opposition or disagreement.|处于对立或分歧状态。|conflict|verb|clash|
antidote|They administered the {{c1::antidote}} promptly.|They administered the antidote promptly.|他们迅速给他服用了解毒剂。|A medicine taken or given to counteract a particular poison.|用于对抗特定毒素的药物。|antidote|noun|remedy|poison
discover|Scientists hope to {{c1::discover}} new species in the rainforest.|Scientists hope to discover new species in the rainforest.|科学家希望在雨林中发现新物种。|To find out something previously unknown.|发现之前未知的事情。|discover|verb|find out|lose
necessarily|That is not {{c1::necessarily}} true in every case.|That is not necessarily true in every case.|那并不一定在每种情况下都成立。|As a necessary result; inevitably.|必然地；不可避免地。|necessarily|adverb|inevitably|unnecessarily
continent|Africa is the second-largest {{c1::continent}}.|Africa is the second-largest continent.|非洲是第二大洲。|Any of the world's main continuous expanses of land.|世界上主要的连续陆地板块之一。|continent|noun|landmass|ocean
turrets|The castle featured several {{c1::turrets}} overlooking the lake.|The castle featured several turrets overlooking the lake.|那座城堡有几座瞭望湖泊的小塔楼。|A small tower on top of a larger tower or at the corner of a building or wall.|建立在更大塔楼或建筑物、墙角落上的小塔楼。|turret|noun|tower|
elastic|Rubber bands are highly {{c1::elastic}}.|Rubber bands are highly elastic.|橡皮筋具有很强的弹性。|Able to resume its normal shape spontaneously after contraction, dilatation, or distortion.|在收缩、扩张或变形后能够自动恢复其正常形状。|elastic|adjective|stretchy|inflexible
enhance|You can {{c1::enhance}} the flavor by adding more spices.|You can enhance the flavor by adding more spices.|你可以通过添加更多的香料来提升风味。|To intensify, increase, or further improve the quality, value, or extent of something.|加强、增加或进一步提高某事物的质量、价值或范围。|enhance|verb|improve|diminish
demonstration|He gave a {{c1::demonstration}} of the new software.|He gave a demonstration of the new software.|他演示了这款新软件的使用方法。|A practical exhibition and explanation of how something works or is performed.|对某事物如何工作或执行的实际演示和解释。|demonstration|noun|exhibition|
interrupt|Please don't {{c1::interrupt}} me while I'm speaking.|Please don't interrupt me while I'm speaking.|我说话时请不要打断我。|To stop the continuous progress of an activity or process.|阻止活动或进程的连续进行。|interrupt|verb|cut off|continue
redundant|These paragraphs seem {{c1::redundant}}.|These paragraphs seem redundant.|这些段落似乎是多余的。|No longer needed or useful; superfluous.|不再需要或不再有用；多余的。|redundant|adjective|unnecessary|essential
mishandled|They {{c1::mishandled}} the fragile glassware.|They mishandled the fragile glassware.|他们错误地操作了易碎的玻璃器皿。|To manage or deal with (something) wrongly or ineffectively.|错误地或无效地管理或处理（某事物）。|mishandle|verb|botch|manage well
discovery|His {{c1::discovery}} of a hidden cave was astonishing.|His discovery of a hidden cave was astonishing.|他发现了一个隐藏的山洞，这令人惊讶。|The action or process of discovering or being discovered.|发现或被发现的动作或过程。|discovery|noun|finding|loss
alcohol|He decided to quit {{c1::alcohol}} for health reasons.|He decided to quit alcohol for health reasons.|出于健康原因，他决定戒酒。|A colorless volatile flammable liquid that is produced by the natural fermentation of sugars and is the intoxicating constituent of wine, beer, spirits, etc.|一种无色易挥发的易燃液体，通过糖分的自然发酵产生，是葡萄酒、啤酒和烈性酒中令人醉的成分。|alcohol|noun|ethanol|
suppression|The {{c1::suppression}} of free speech sparked protest.|The suppression of free speech sparked protest.|对言论自由的压制引发了抗议。|The action of suppressing something such as an activity or publication.|对某项活动或出版物进行压制的行为。|suppression|noun|inhibition|expression
mainly|We {{c1::mainly}} focus on software development.|We mainly focus on software development.|我们的主要重点是软件开发。|More than anything else; primarily.|超过其他任何方面；主要地。|mainly|adverb|primarily|rarely
property|They invested heavily in {{c1::property}}.|They invested heavily in property.|他们在房地产上投入了大量资金。|A thing or things belonging to someone; possessions collectively.|属于某人的物品或财产；统称。|property|noun|possession|
naked|He was standing there completely {{c1::naked}}.|He was standing there completely naked.|他一丝不挂地站在那里。|(of a person or part of the body) without clothes.|（指人或身体部位）未着衣物的。|naked|adjective|bare|clothed
feature|The main {{c1::feature}} of this car is its fuel efficiency.|The main feature of this car is its fuel efficiency.|这款车的主要特征是其燃油效率高。|A distinctive attribute or aspect of something.|某事物具有独特的特征或方面。|feature|noun|characteristic|
features|This magazine often {{c1::features}} up-and-coming artists.|This magazine often features up-and-coming artists.|这本杂志经常以新晋艺术家为特色报道。|To have as a prominent attribute or aspect.|将某事物作为突出的特色或方面。|feature|verb|present|
lens|The photographer changed the {{c1::lens}} to capture a wider shot.|The photographer changed the lens to capture a wider shot.|摄影师更换了镜头以拍摄更广的画面。|A piece of glass or other transparent material with curved sides for concentrating or dispersing light rays.|一种由玻璃或其他透明材料制成的具有弯曲表面的器件，用于聚焦或发散光线。|lens|noun|optic|
coordinator|He is the {{c1::coordinator}} of the event.|He is the coordinator of the event.|他是这次活动的协调人。|A person who organizes people or groups so that they work together properly and well.|负责组织或协调人或团队，使其协同工作的角色。|coordinator|noun|organizer, facilitator|
nourish|A balanced diet will {{c1::nourish}} your body.|A balanced diet will nourish your body.|均衡的饮食会滋养你的身体。|To provide (someone or something) with food and other things that are needed to live, be healthy, etc.|提供必需的食物或其他物质使其健康成长。|nourish|verb|feed, sustain, foster|
nourished|She {{c1::nourished}} the hope of becoming an artist someday.|She nourished the hope of becoming an artist someday.|她一直怀揣着成为艺术家的希望。|To keep (a feeling or belief) in one's mind for a long time, allowing it to grow and develop.|在心中长期保持（某种感觉或信念），使之成长。|nourish|verb|cherish, harbor|
crisp|I love a {{c1::crisp}} apple in the morning.|I love a crisp apple in the morning.|我喜欢早晨吃一个脆爽的苹果。|Firm, dry, and brittle, especially describing food or weather conditions.|描述食物或天气时，表示干爽而且略带脆性的状态。|crisp|adjective|crunchy, brittle|soft, soggy
guilty|He felt {{c1::guilty}} about not telling the truth.|He felt guilty about not telling the truth.|他因为没有说实话而感到内疚。|Responsible for a specified wrongdoing or offense.|对某种过错或罪行负有责任。|guilty|adjective|culpable, at fault|innocent
cracked|He {{c1::cracked}} the egg into the frying pan.|He cracked the egg into the frying pan.|他把鸡蛋打破后倒入煎锅。|To break or split something apart.|使某物断裂或破裂。|crack|verb|fracture, break|
crack|There's a {{c1::crack}} in the windshield.|There's a crack in the windshield.|挡风玻璃上有一道裂缝。|A line on the surface of something along which it has split without breaking apart.|物体表面破裂但尚未分离的裂缝。|crack|noun|fissure, split|
flourish|Small businesses can {{c1::flourish}} in a supportive environment.|Small businesses can flourish in a supportive environment.|小型企业在有利环境下可以蓬勃发展。|To grow or develop successfully.|茁壮成长或发展良好。|flourish|verb|prosper, thrive|wither
reserve|I want to {{c1::reserve}} a table for tomorrow night.|I want to reserve a table for tomorrow night.|我想预订明晚的餐桌。|To arrange to keep something for use at a later time.|预留或保留某物以备后用。|reserve|verb|book|
reserve|We always keep a cash {{c1::reserve}} for emergencies.|We always keep a cash reserve for emergencies.|我们总是留有现金储备以备紧急情况。|A supply of a commodity not needed for immediate use but available if required.|暂时不需要但可在需要时使用的存储或供应。|reserve|noun|stock, supply|
dimensional|This sculpture is highly three-{{c1::dimensional}}.|This sculpture is highly three-dimensional.|这件雕塑具有很强的三维效果。|Relating to measurements or aspects of space.|与空间的测量或方面相关。|dimensional|adjective|spatial|
gravel|The road was covered with {{c1::gravel}}.|The road was covered with gravel.|道路上铺满了碎石。|Small rounded stones often mixed with sand.|通常与沙子混合的小碎石。|gravel|noun|pebbles, stone chips|
advertisement|I saw an {{c1::advertisement}} for that car on TV.|I saw an advertisement for that car on TV.|我在电视上看到了那辆车的广告。|A notice or announcement in a public medium promoting a product, service, or event.|在公共媒介上发布的推广产品、服务或活动的通知或公告。|advertisement|noun|ad, promo|
insulation|We added extra {{c1::insulation}} to keep the house warm.|We added extra insulation to keep the house warm.|我们添加了额外的隔热材料来保暖。|Material used to insulate something, especially a building.|用于隔绝某物（尤其是建筑物）的材料。|insulation|noun|padding, lining|
hesitation|There was a brief {{c1::hesitation}} before she answered.|There was a brief hesitation before she answered.|她在回答前稍作犹豫。|The action of pausing or hesitating before saying or doing something.|在说话或做事前的停顿或犹豫行为。|hesitation|noun|pause, uncertainty|
